iter	Logloss
0	0.6928072387
1	0.692519712
2	0.69223887
3	0.6919658826
4	0.691755584
5	0.691538168
6	0.6913553269
7	0.6911552326
8	0.6910079123
9	0.6908225479
10	0.6906335271
11	0.6904706774
12	0.6903341246
13	0.690191301
14	0.6900892174
15	0.6899639981
16	0.6898419612
17	0.6897361606
18	0.6896367795
19	0.6895481541
20	0.6894719544
21	0.6893872439
22	0.6893143838
23	0.6892550788
24	0.6891851404
25	0.6891270146
26	0.6890600196
27	0.6890090301
28	0.6889571447
29	0.6889083122
30	0.6888645704
31	0.6888129673
32	0.6887733935
33	0.6887371722
34	0.6886997297
35	0.6886752237
36	0.6886387543
37	0.688606374
38	0.6885767075
39	0.6885600765
40	0.6885309033
41	0.6885000416
42	0.6884767178
43	0.6884599586
44	0.6884334215
45	0.68841401
46	0.688394465
47	0.6883755836
48	0.6883579182
49	0.6883419804
50	0.6883243838
51	0.688307462
52	0.6882897647
53	0.6882750492
54	0.6882612928
55	0.6882523042
56	0.6882326396
57	0.6882127712
58	0.6882001522
59	0.6881872819
60	0.688172664
61	0.6881578939
62	0.6881421337
63	0.6881310845
64	0.6881139281
65	0.6881018632
66	0.6880882099
67	0.6880716971
68	0.6880605749
69	0.6880452354
70	0.6880332823
71	0.6880192629
72	0.6880017837
73	0.687986662
74	0.687973026
75	0.687964435
76	0.6879513718
77	0.6879406694
78	0.6879266075
79	0.6879144501
80	0.6879047789
81	0.6878895728
82	0.6878795754
83	0.6878661869
84	0.6878524688
85	0.6878389892
86	0.6878248172
87	0.6878134687
88	0.6877984976
89	0.6877830048
90	0.687770251
91	0.6877549272
92	0.6877416684
93	0.6877338591
94	0.6877226237
95	0.6877091021
96	0.6876966281
97	0.6876857396
98	0.6876745193
99	0.6876602596
100	0.687646802
101	0.6876357805
102	0.6876253999
103	0.6876117679
104	0.6875994667
105	0.6875880423
106	0.687572893
107	0.68755707
108	0.6875423937
109	0.6875320097
110	0.6875198625
111	0.6875088488
112	0.6874942778
113	0.6874818669
114	0.6874661827
115	0.6874572334
116	0.6874477247
117	0.6874347215
118	0.687420745
119	0.6874083196
120	0.6873966763
121	0.6873874992
122	0.6873750121
123	0.6873615353
124	0.687346012
125	0.6873342211
126	0.6873239759
127	0.6873123352
128	0.6873016459
129	0.6872892217
130	0.6872745753
131	0.6872605359
132	0.6872469683
133	0.6872369332
134	0.6872275763
135	0.687214625
136	0.6872021506
137	0.6871921573
138	0.6871837791
139	0.6871700248
140	0.6871596756
141	0.6871527049
142	0.6871403207
143	0.6871304926
144	0.6871193914
145	0.6871046038
146	0.687092282
147	0.6870794643
148	0.6870688479
149	0.6870554495
150	0.6870391885
151	0.687027721
152	0.687012825
153	0.6870038504
154	0.6869889947
155	0.6869751232
156	0.6869612248
157	0.6869475971
158	0.6869373118
159	0.6869245344
160	0.6869108322
161	0.6868971373
162	0.6868837579
163	0.686870946
164	0.6868582607
165	0.686848099
166	0.686836282
167	0.6868245063
168	0.6868134883
169	0.6868018247
170	0.6867890486
171	0.6867802239
172	0.6867673338
173	0.686753573
174	0.6867402453
175	0.6867294672
176	0.6867187127
177	0.686707819
178	0.6866971737
179	0.6866860749
180	0.6866743356
181	0.686659824
182	0.6866457343
183	0.6866333177
184	0.6866209424
185	0.6866068097
186	0.6865955373
187	0.6865870612
188	0.6865730115
189	0.6865595463
190	0.686544504
191	0.6865303469
192	0.6865213173
193	0.6865077337
194	0.6864970082
195	0.6864854267
196	0.6864712085
197	0.6864580354
198	0.6864429623
199	0.6864374202
200	0.6864241248
201	0.6864165555
202	0.6864046295
203	0.6863940143
204	0.6863818427
205	0.6863713782
206	0.686362414
207	0.6863526552
208	0.68634036
209	0.6863264489
210	0.6863170795
211	0.6863073159
212	0.6863010824
213	0.6862895428
214	0.6862755369
215	0.6862673353
216	0.6862583747
