iter	Passed	Remaining
0	402	805473
1	732	731965
2	1086	723260
3	1408	703080
4	1758	701460
5	2063	685907
6	2405	684876
7	2768	689431
8	3092	684066
9	3452	687115
10	3842	694792
11	4256	705131
12	4591	701810
13	4925	698734
14	5330	705344
15	5700	706863
16	6042	704881
17	6356	699895
18	6735	702273
19	7073	700239
20	7381	695649
21	7702	692561
22	8050	691951
23	8365	688767
24	8741	690575
25	9067	688420
26	9468	691937
27	9810	690936
28	10166	690990
29	10566	693882
30	10946	695280
31	11311	695639
32	11669	695570
33	12090	699138
34	12463	699714
35	12793	697957
36	13190	699792
37	13549	699593
38	13944	701155
39	14304	700902
40	14719	703316
41	15131	705411
42	15518	706254
43	15911	707354
44	16277	707178
45	16668	708029
46	17105	710770
47	17523	712631
48	17881	711962
49	18267	712440
50	18594	710612
51	18954	710072
52	19276	708135
53	19655	708331
54	20010	707644
55	20381	707527
56	20799	709005
57	21159	708465
58	21476	706534
59	21818	705467
60	22209	705972
61	22559	705176
62	22916	704593
63	23238	702951
64	23632	703509
65	23986	702883
66	24364	702941
67	24763	703583
68	25092	702239
69	25441	701466
70	25751	699642
71	26157	700443
72	26527	700247
73	26861	699125
74	27263	699765
75	27622	699296
76	27992	699085
77	28336	698237
78	28739	698844
79	29107	698572
80	29469	698167
81	29808	697219
82	30205	697638
83	30558	697023
84	30924	696706
85	31295	696504
86	31617	695216
87	31947	694128
88	32325	694094
89	32708	694151
90	33047	693267
91	33388	692453
92	33799	693071
93	34135	692157
94	34501	691843
95	34893	692053
96	35267	691901
97	35605	691037
98	35951	690337
99	36357	690785
100	36734	690681
101	37074	689871
102	37486	690414
103	37858	690193
104	38224	689852
105	38555	688908
106	38964	689336
107	39285	688231
108	39661	688075
109	40013	687506
110	40333	686393
111	40638	685053
112	41007	684789
113	41379	684572
114	41734	684078
115	42066	683215
116	42416	682647
117	42800	682630
118	43146	682003
119	43478	681167
120	43892	681598
121	44229	680848
122	44542	679722
123	44920	679603
124	45323	679846
125	45622	678543
126	45957	677789
127	46287	676958
128	46698	677304
129	47054	676859
130	47409	676397
131	47794	676361
132	48132	675665
133	48482	675142
134	48826	674530
135	49226	674692
136	49606	674576
137	49933	673741
138	50292	673342
139	50671	673200
140	51019	672656
141	51371	672171
142	51738	671872
143	52076	671213
144	52407	670457
145	52755	669919
146	53157	670069
147	53504	669535
148	53840	668848
149	54239	668947
150	54625	668894
151	54966	668280
152	55327	667906
153	55615	666658
154	55963	666142
155	56326	665805
156	56719	665822
157	57064	665271
158	57434	665008
159	57779	664466
160	58125	663934
161	58475	663442
162	58842	663154
163	59247	663286
164	59596	662783
165	59934	662169
166	60303	661891
167	60670	661599
168	60984	660728
169	61304	659928
170	61667	659592
171	62028	659235
172	62367	658647
173	62712	658124
174	63126	658322
175	63483	657914
176	63833	657448
177	64214	657298
178	64587	657058
179	64939	656606
180	65318	656428
181	65723	656510
182	66056	655868
183	66398	655320
184	66782	655188
185	67242	655798
186	67612	655513
187	67989	655302
188	68363	655063
189	68725	654700
190	69095	654420
191	69545	654887
192	69899	654450
193	70259	654064
194	70630	653781
195	71015	653636
196	71339	652923
197	71673	652300
198	72082	652363
199	72365	651292
200	72724	650903
201	73034	650075
202	73424	649969
203	73737	649180
204	74090	648747
205	74466	648507
206	74784	647767
207	75143	647393
208	75524	647198
209	75951	647392
210	76313	647033
211	76676	646688
212	77012	646111
213	77393	645906
214	77742	645440
215	78058	644701
216	78386	644072
